s,x,y,theta,velocity
0.000000,-2.643300,2.467900,-1.149600,2.613000
0.038000,-2.627800,2.433300,-1.136200,2.539000
0.076000,-2.611400,2.399000,-1.111900,2.463000
0.114100,-2.594100,2.365100,-1.092300,2.509000
0.152300,-2.576300,2.331400,-1.077400,2.554000
0.190500,-2.558000,2.297800,-1.067200,2.599000
0.228800,-2.539400,2.264400,-1.061700,2.642000
0.267100,-2.520700,2.231000,-1.060800,2.686000
0.305400,-2.502000,2.197600,-1.064400,2.728000
0.343600,-2.483500,2.164000,-1.072700,2.770000
0.381900,-2.465400,2.130300,-1.085600,2.811000
0.420100,-2.447900,2.096400,-1.101900,2.851000
0.458300,-2.430900,2.062100,-1.118100,2.891000
0.496500,-2.414500,2.027700,-1.131700,2.931000
0.534600,-2.398400,1.993000,-1.142500,2.969000
0.572800,-2.382800,1.958200,-1.150500,3.008000
0.611000,-2.367300,1.923300,-1.155600,3.046000
0.649100,-2.352000,1.888400,-1.157900,3.083000
0.687300,-2.336700,1.853400,-1.157300,3.120000
0.725500,-2.321300,1.818500,-1.154000,3.156000
0.763600,-2.305800,1.783600,-1.147800,3.192000
0.801800,-2.290000,1.748900,-1.139000,3.228000
0.839900,-2.273800,1.714300,-1.129400,3.263000
0.878100,-2.257400,1.679900,-1.121300,3.298000
0.916300,-2.240600,1.645600,-1.115400,3.333000
0.954400,-2.223800,1.611300,-1.111800,3.367000
0.992600,-2.206800,1.577100,-1.110400,3.401000
1.030800,-2.189900,1.542900,-1.111200,3.434000
1.069000,-2.173000,1.508700,-1.114300,3.467000
1.107100,-2.156200,1.474400,-1.119600,3.500000
1.145300,-2.139700,1.440000,-1.127100,3.533000
1.183400,-2.123400,1.405500,-1.136700,3.545000
1.221600,-2.107600,1.370800,-1.147800,3.491000
1.259700,-2.092100,1.335900,-1.158700,3.523000
1.297900,-2.077000,1.300900,-1.168400,3.556000
1.336100,-2.062200,1.265700,-1.177100,3.588000
1.374200,-2.047700,1.230400,-1.184600,3.619000
1.412400,-2.033500,1.195000,-1.191000,3.651000
1.450600,-2.019400,1.159500,-1.196300,3.682000
1.488800,-2.005500,1.123900,-1.200400,3.713000
1.527000,-1.991800,1.088300,-1.203500,3.744000
1.565200,-1.978100,1.052600,-1.205400,3.774000
1.603300,-1.964500,1.016900,-1.206400,3.805000
1.641500,-1.950900,0.981300,-1.206900,3.835000
1.679700,-1.937300,0.945600,-1.207200,3.864000
1.717900,-1.923700,0.909900,-1.207400,3.894000
1.756000,-1.910200,0.874200,-1.207500,3.923000
1.794200,-1.896600,0.838600,-1.207400,3.952000
1.832300,-1.883100,0.802900,-1.207200,3.981000
1.870500,-1.869500,0.767200,-1.206900,4.010000
1.908700,-1.855900,0.731600,-1.206400,4.038000
1.946800,-1.842300,0.695900,-1.205800,4.066000
1.985000,-1.828700,0.660300,-1.205200,4.094000
2.023200,-1.815000,0.624600,-1.204900,4.122000
2.061300,-1.801300,0.589000,-1.205100,4.150000
2.099500,-1.787700,0.553300,-1.206000,4.178000
2.137700,-1.774100,0.517700,-1.207500,4.205000
2.175800,-1.760600,0.482000,-1.209500,4.232000
2.214000,-1.747100,0.446300,-1.212200,4.259000
2.252200,-1.733800,0.410500,-1.215400,4.286000
2.290300,-1.720600,0.374700,-1.219300,4.312000
2.328500,-1.707500,0.338900,-1.223700,4.339000
2.366700,-1.694600,0.302900,-1.228600,4.365000
2.404800,-1.681900,0.267000,-1.233200,4.391000
2.443000,-1.669300,0.230900,-1.237300,4.417000
2.481100,-1.656900,0.194800,-1.240800,4.422000
2.519300,-1.644600,0.158700,-1.243700,4.379000
2.557500,-1.632400,0.122600,-1.246100,4.335000
2.595600,-1.620200,0.086400,-1.247900,4.291000
2.633800,-1.608200,0.050200,-1.249100,4.246000
2.672000,-1.596100,0.014000,-1.249800,4.201000
2.710200,-1.584100,-0.022300,-1.249900,4.155000
2.748300,-1.572000,-0.058500,-1.250000,4.109000
2.786500,-1.560000,-0.094700,-1.250900,4.062000
2.824700,-1.548000,-0.131000,-1.252900,4.015000
2.862900,-1.536100,-0.167300,-1.256100,3.967000
2.901100,-1.524400,-0.203600,-1.260500,3.919000
2.939200,-1.512800,-0.240000,-1.266100,3.870000
2.977400,-1.501500,-0.276400,-1.272800,3.820000
3.015500,-1.490400,-0.312900,-1.280700,3.770000
3.053700,-1.479600,-0.349500,-1.289700,3.719000
3.091800,-1.469200,-0.386300,-1.299700,3.667000
3.130000,-1.459200,-0.423100,-1.309600,3.698000
3.168100,-1.449500,-0.460000,-1.318400,3.729000
3.206300,-1.440200,-0.496900,-1.326100,3.760000
3.244500,-1.431000,-0.534000,-1.332600,3.790000
3.282600,-1.422100,-0.571100,-1.338000,3.820000
3.320800,-1.413400,-0.608300,-1.342200,3.850000
3.359000,-1.404800,-0.645500,-1.345200,3.880000
3.397200,-1.396300,-0.682700,-1.347100,3.909000
3.435400,-1.387900,-0.720000,-1.347800,3.874000
3.473600,-1.379500,-0.757200,-1.348300,3.824000
3.511800,-1.371000,-0.794500,-1.349600,3.774000
3.549900,-1.362700,-0.831700,-1.352200,3.723000
3.588100,-1.354500,-0.869000,-1.356200,3.671000
3.626300,-1.346400,-0.906300,-1.361400,3.619000
3.664400,-1.338600,-0.943700,-1.368000,3.566000
3.702600,-1.331100,-0.981100,-1.375900,3.512000
3.740800,-1.323800,-1.018500,-1.385100,3.457000
3.778900,-1.317000,-1.056100,-1.395700,3.402000
3.817100,-1.310500,-1.093700,-1.407300,3.345000
3.855300,-1.304600,-1.131400,-1.419500,3.289000
3.893500,-1.299000,-1.169200,-1.432000,3.259000
3.931600,-1.294000,-1.207100,-1.444700,3.231000
3.969800,-1.289400,-1.245000,-1.457600,3.204000
4.008000,-1.285400,-1.282900,-1.470800,3.176000
4.046200,-1.281800,-1.321000,-1.484100,3.149000
4.084400,-1.278800,-1.359000,-1.497700,3.122000
4.122600,-1.276200,-1.397200,-1.511600,3.097000
4.160800,-1.274200,-1.435300,-1.525600,3.083000
4.199000,-1.272800,-1.473500,-1.539700,3.090000
4.237200,-1.271900,-1.511600,-1.553600,3.111000
4.275400,-1.271500,-1.549800,-1.567300,3.135000
4.313600,-1.271600,-1.588000,-1.580800,3.160000
4.351700,-1.272200,-1.626200,-1.594100,3.184000
4.389900,-1.273400,-1.664400,-1.607200,3.209000
4.428100,-1.275000,-1.702500,-1.620000,3.234000
4.466300,-1.277100,-1.740700,-1.632700,3.260000
4.504500,-1.279700,-1.778800,-1.645200,3.287000
4.542700,-1.282800,-1.816800,-1.657500,3.318000
4.580900,-1.286300,-1.854900,-1.669500,3.352000
4.619100,-1.290300,-1.892800,-1.681200,3.386000
4.657300,-1.294800,-1.930800,-1.692700,3.420000
4.695500,-1.299600,-1.968600,-1.703800,3.453000
4.733600,-1.304900,-2.006500,-1.714700,3.486000
4.771800,-1.310600,-2.044200,-1.725400,3.519000
4.810000,-1.316600,-2.081900,-1.735700,3.552000
4.848200,-1.323100,-2.119500,-1.745800,3.584000
4.886300,-1.329900,-2.157100,-1.755600,3.615000
4.924500,-1.337100,-2.194600,-1.765200,3.647000
4.962700,-1.344700,-2.232000,-1.774500,3.631000
5.000800,-1.352600,-2.269300,-1.783500,3.579000
5.039000,-1.360800,-2.306600,-1.792300,3.525000
5.077100,-1.369300,-2.343800,-1.800900,3.470000
5.115300,-1.378200,-2.380900,-1.809200,3.415000
5.153500,-1.387400,-2.417900,-1.817200,3.358000
5.191700,-1.396800,-2.454900,-1.825000,3.301000
5.229900,-1.406600,-2.491900,-1.832600,3.243000
5.268100,-1.416600,-2.528800,-1.840000,3.183000
5.306400,-1.426900,-2.565600,-1.847800,3.123000
5.344600,-1.437500,-2.602300,-1.856800,3.061000
5.382900,-1.448500,-2.639000,-1.867200,2.998000
5.421100,-1.459900,-2.675500,-1.879100,2.933000
5.459300,-1.471700,-2.711800,-1.892500,2.867000
5.497500,-1.484000,-2.748000,-1.907300,2.800000
5.535700,-1.496900,-2.783900,-1.923600,2.731000
5.573800,-1.510400,-2.819600,-1.941300,2.660000
5.612000,-1.524500,-2.855100,-1.960600,2.587000
5.650100,-1.539400,-2.890200,-1.981200,2.528000
