s,x,y,theta,velocity
0.0,-3.909288033361979,-6.664964317573234,1.1574361871483652,3.1286482924797867
0.07541001988157549,-3.879024886756765,-6.595969920738449,1.1386567977940427,3.005717874189281
0.15101691244555937,-3.8461223979225485,-6.528008898207327,1.1039140166355734,2.8771984661439487
0.22685287713332652,-3.8109628883430298,-6.460939653077247,1.0747114573436474,2.9552134951146414
0.3029140938271176,-3.773928679501913,-6.394620588445568,1.0509919016242684,3.0314442270756756
0.37916767426500614,-3.735402092882903,-6.32891010740965,1.0326773638987155,3.1059902743726955
0.4555584543530899,-3.6957654499697004,-6.263666613066869,1.0196899990588788,3.178918096621282
0.5320155826559027,-3.6554010722460104,-6.198748508514586,1.0119673765141,3.2502712248123466
0.6084589272210288,-3.6146912811955363,-6.134014196850165,1.0094727671304504,3.3200787795222433
0.6848108785321989,-3.5740183983019813,-6.069322081170978,1.0119048288598411,3.3883675730506173
0.7610341901371934,-3.533720542628349,-6.004545199124928,1.0172072873318025,3.4551953171609413
0.8371382043813645,-3.4938705617928,-5.9396444145084955,1.0229484804988829,3.520653173091028
0.9131442837583306,-3.4544427998081986,-5.874613203720986,1.0284615323019903,3.5848340605190807
0.9890735100277678,-3.415411437584928,-5.809445097161728,1.0337400018199427,3.647822720346254
1.0649466733614097,-3.3767506560333773,-5.7441336252300434,1.0387789534030027,3.709696696372386
1.140784282247783,-3.338434636063929,-5.678672318325264,1.0435738673191504,3.770527182290884
1.2166065742008687,-3.300437558586973,-5.613054706846706,1.0481206449607638,3.830379744113232
1.292433527222118,-3.262733604512892,-5.547274321193706,1.052415612343877,3.8893149399657063
1.3682836509121412,-3.225296954752075,-5.481324691765579,1.0564631981641681,3.9473879267663303
1.4441661836947055,-3.188104005451506,-5.415200902221136,1.0603181365607284,4.004643135296324
1.5200792990011802,-3.1511453740307993,-5.348908007761923,1.064049115496793,4.061113804477144
1.5960179777988215,-3.114417297956411,-5.282455004202896,1.0676765698962907,4.116828561611556
1.6719771093147253,-3.077916028532203,-5.2158508970613955,1.0712014263837555,4.171814017282662
1.7479515014766702,-3.0416378170620377,-5.149104691854754,1.0746245285575913,4.226094952526241
1.823935883681889,-3.005578914849776,-5.082225394100308,1.0779466847986194,4.279694479866417
1.899924909509015,-2.969735573199281,-5.015222009315392,1.0811686677837156,4.332634186723111
1.975913159375295,-2.934104043414412,-4.948103543017345,1.0842912140173409,4.384934263493527
2.051895182810096,-2.898680576799032,-4.880879000723499,1.0873149852275643,4.436613645086568
2.127867148244437,-2.8634613826427744,-4.813557320401881,1.0902389517615978,4.487691213572338
2.2038290068713096,-2.8284409251953604,-4.746144634393221,1.0930595493316193,4.538187257059321
2.2797829988789085,-2.793611334990966,-4.6786433229544855,1.0957742379133741,4.588122440844534
2.3557314523388864,-2.7589645796870292,-4.611055504473865,1.0983825975042696,4.637516388428301
2.431676631943617,-2.7244926269409797,-4.54338329733956,1.100884385933381,4.686387663282825
2.5076207415147618,-2.6901874444102534,-4.475628819939763,1.1032793842277293,4.734753846610859
2.583565926530296,-2.65604099975228,-4.407794190662676,1.1055673958308094,4.782631608026017
