s,x,y,theta,velocity
0.000000,-2.877100,0.628700,1.463300,2.446000
0.070500,-2.869600,0.698700,1.492200,2.297000
0.141300,-2.866000,0.769300,1.548100,2.137000
0.212700,-2.866300,0.840300,1.600600,2.221000
0.284700,-2.870300,0.911900,1.649400,2.316000
0.357700,-2.877700,0.984100,1.694400,2.409000
0.431600,-2.888300,1.056700,1.735600,2.499000
0.506500,-2.901900,1.129800,1.773100,2.587000
0.582500,-2.918400,1.203400,1.807000,2.674000
0.659600,-2.937500,1.277600,1.837500,2.759000
0.737800,-2.959000,1.352200,1.864600,2.843000
0.817100,-2.982800,1.427300,1.888600,2.925000
0.897500,-3.008600,1.502900,1.909600,3.007000
0.978900,-3.036200,1.578900,1.927800,3.087000
1.061300,-3.065500,1.655400,1.943200,3.166000
1.144600,-3.096200,1.732400,1.956200,3.244000
1.228700,-3.128100,1.809800,1.966600,3.321000
1.313700,-3.161100,1.887700,1.974800,3.397000
1.399300,-3.194900,1.966000,1.980600,3.471000
1.485500,-3.229300,2.044800,1.984300,3.545000
1.572200,-3.264200,2.123900,1.985900,3.618000
1.659400,-3.299300,2.203500,1.985400,3.689000
1.747000,-3.334400,2.283500,1.982800,3.760000
1.834800,-3.369400,2.363900,1.978100,3.829000
1.922700,-3.404000,2.444700,1.971500,3.898000
2.010800,-3.438000,2.526000,1.962800,3.965000
2.098900,-3.471300,2.607600,1.952000,4.031000
2.187000,-3.503600,2.689500,1.939200,4.040000
2.275000,-3.534700,2.771900,1.924200,3.930000
2.362800,-3.564500,2.854600,1.907100,3.817000
2.450500,-3.592700,2.937700,1.887800,3.700000
2.537900,-3.619100,3.021200,1.866300,3.580000
2.625100,-3.643600,3.105000,1.842400,3.456000
2.712000,-3.665900,3.189100,1.816300,3.328000
2.798700,-3.685800,3.273600,1.787700,3.195000
2.885200,-3.703200,3.358400,1.756800,3.070000
2.971500,-3.717800,3.443600,1.723500,2.959000
3.057700,-3.729500,3.529100,1.687800,2.860000
3.143900,-3.738000,3.614900,1.649800,2.783000
3.230200,-3.743100,3.700900,1.609900,2.750000
3.316500,-3.744700,3.787300,1.569900,2.769000
3.402700,-3.742900,3.873600,1.531000,2.806000
3.488600,-3.737800,3.959600,1.493100,2.836000
3.574100,-3.729600,4.044900,1.456100,2.853000
3.658900,-3.718300,4.129300,1.419500,2.855000
3.742800,-3.704000,4.212500,1.383200,2.842000
3.825600,-3.687000,4.294200,1.346700,2.813000
3.907100,-3.667200,4.374000,1.309700,2.767000
3.987200,-3.644900,4.451800,1.272000,2.706000
4.065600,-3.620100,4.527100,1.233100,2.629000
4.142000,-3.592900,4.599700,1.192500,2.537000
4.216400,-3.563600,4.669200,1.149700,2.431000
4.288600,-3.532100,4.735400,1.104200,2.314000
4.358300,-3.498700,4.798100,1.055200,2.187000
4.425500,-3.463400,4.856800,1.001900,2.054000
4.490000,-3.426300,4.911200,0.943300,1.915000
4.551700,-3.387600,4.961200,0.878400,1.776000
4.610800,-3.347400,5.006300,0.805700,1.638000
4.667100,-3.305900,5.046300,0.723900,1.514000
4.721000,-3.263000,5.081000,0.633400,1.419000
4.772900,-3.219000,5.110100,0.536900,1.357000
4.823300,-3.173800,5.134000,0.436700,1.320000
4.872700,-3.127600,5.152800,0.334900,1.302000
4.921700,-3.080500,5.166500,0.233300,1.304000
4.970600,-3.032400,5.175400,0.133900,1.324000
5.020000,-2.983400,5.179600,0.038400,1.363000
5.070100,-2.933700,5.179200,-0.051900,1.417000
