s,x,y,theta,velocity
4.431400,-1.283700,-1.645700,-1.610800,3.411000
4.469600,-1.285400,-1.683800,-1.619700,3.445000
4.507800,-1.287500,-1.722000,-1.629700,3.478000
4.545900,-1.289900,-1.760000,-1.640400,3.487000
4.584100,-1.292800,-1.798100,-1.651600,3.474000
4.622300,-1.296100,-1.836100,-1.662600,3.506000
4.660400,-1.299800,-1.874100,-1.673100,3.539000
4.698600,-1.303900,-1.912100,-1.683100,3.571000
4.736800,-1.308300,-1.950000,-1.692600,3.562000
4.775000,-1.313200,-1.987900,-1.701700,3.508000
4.813300,-1.318300,-2.025800,-1.710300,3.453000
4.851500,-1.323800,-2.063600,-1.718500,3.397000
4.889700,-1.329600,-2.101400,-1.726200,3.340000
4.928000,-1.335600,-2.139200,-1.733500,3.282000
4.966300,-1.342000,-2.176900,-1.741100,3.223000
5.004500,-1.348600,-2.214600,-1.749800,3.164000
5.042800,-1.355600,-2.252200,-1.759700,3.103000
5.081000,-1.363000,-2.289800,-1.770900,3.040000
5.119300,-1.370800,-2.327200,-1.783400,2.977000
5.157500,-1.379100,-2.364500,-1.797100,2.912000
5.195700,-1.387900,-2.401600,-1.812100,2.845000
5.233800,-1.397400,-2.438700,-1.828500,2.778000
5.272000,-1.407400,-2.475500,-1.846100,2.708000
5.310200,-1.418100,-2.512100,-1.864900,2.650000
5.348300,-1.429500,-2.548500,-1.884100,2.656000
5.386500,-1.441600,-2.584700,-1.902800,2.699000
5.424700,-1.454400,-2.620700,-1.920500,2.741000
5.462900,-1.467800,-2.656500,-1.937300,2.782000
5.501100,-1.481800,-2.692100,-1.953300,2.823000
5.539400,-1.496300,-2.727400,-1.968300,2.864000
5.577600,-1.511400,-2.762600,-1.982500,2.903000
5.615900,-1.527000,-2.797500,-1.995800,2.943000
5.654200,-1.543000,-2.832300,-2.008200,2.981000
5.692500,-1.559400,-2.866900,-2.019800,3.020000
5.730700,-1.576200,-2.901300,-2.030900,3.058000
5.769000,-1.593400,-2.935500,-2.042000,3.095000
5.807200,-1.610900,-2.969500,-2.053500,3.132000
5.845500,-1.628900,-3.003200,-2.065400,3.168000
5.883700,-1.647200,-3.036800,-2.077700,3.204000
5.921900,-1.666000,-3.070100,-2.090300,3.228000
5.960100,-1.685200,-3.103100,-2.103300,3.180000
5.998300,-1.704800,-3.135900,-2.116700,3.135000
6.036500,-1.724800,-3.168400,-2.130500,3.091000
6.074700,-1.745300,-3.200600,-2.144700,3.058000
6.112800,-1.766300,-3.232500,-2.159100,3.073000
6.151000,-1.787700,-3.264100,-2.173000,3.110000
6.189200,-1.809500,-3.295400,-2.185900,3.147000
6.227400,-1.831700,-3.326500,-2.197600,3.183000
6.265600,-1.854300,-3.357300,-2.208100,3.219000
6.303800,-1.877200,-3.387900,-2.217600,3.254000
6.342000,-1.900400,-3.418200,-2.225900,3.289000
6.380200,-1.923800,-3.448500,-2.233000,3.324000
6.418400,-1.947400,-3.478500,-2.239100,3.358000
6.456700,-1.971100,-3.508500,-2.244000,3.392000
6.494900,-1.995000,-3.538300,-2.247800,3.426000
